row_index,mode,near_audio_mean,far_audio_mean,near_far_ratio
18,ITF_SM2T,0.10375866542259853,0.040655606985092164,2.5521366698102237
19,IAF_SM2T,0.11345840493837993,0.13477739691734314,0.8418207172165549
19,ITF_SM2T,0.015786108871301014,0.06881292794759457,0.22940615000561718
20,IAF_SM2T,0.03731680909792582,0.031420995481312275,1.1876393005731616
20,ITF_SM2T,0.02357290592044592,0.04093544189818203,0.5758556602003349
21,IAF_SM2T,0.08913857241471608,0.05527167767286301,1.612735060091511
21,ITF_SM2T,0.1028039741019408,0.05591028894890438,1.838730867480459
22,IAF_SM2T,0.08101168895761172,0.05852958063284556,1.384115315372097
22,ITF_SM2T,0.05371322327603897,0.06914005037397146,0.7768756745870556
23,IAF_SM2T,0.0625802722449104,0.08095614177485307,0.7730145097351505
23,ITF_SM2T,0.05170498788356781,0.037196285490478785,1.3900578297102486
24,IAF_SM2T,0.03839341551065445,0.03732615485787392,1.0285928367338057
24,ITF_SM2T,0.04274727528293928,0.04425345563019315,0.9659646839603594
25,IAF_SM2T,0.06243241826693217,0.12951058894395828,0.4820641985765798
25,ITF_SM2T,0.05491394673784574,0.08677526330575347,0.6328295028471776
26,IAF_SM2T,0.0493664542833964,0.04820497753098607,1.0240945398354275
26,ITF_SM2T,0.07831735412279765,0.07261807937175035,1.0784828626600378
27,IAF_SM2T,0.047269378478328385,0.038345946650952104,1.2327086069192665
27,ITF_SM2T,0.0392913892865181,0.046668724467357,0.8419212167060407
28,IAF_SM2T,0.1088723639647166,0.12637510523200035,0.8615016681013749
28,ITF_SM2T,0.06330294286211331,0.068625094635146,0.9224459827377866
29,IAF_SM2T,,,
29,ITF_SM2T,0.03778007517879208,0.04244905224015169,0.8900098632159017
30,IAF_SM2T,0.07320341592033704,0.07206207017103831,1.0158383702490632
30,ITF_SM2T,0.07218469182650249,0.09511406063878287,0.7589276637013872
31,IAF_SM2T,0.09492463804781437,0.04954346725717187,1.915986976711994
31,ITF_SM2T,0.05202617744604746,0.056021751037665775,0.928678173771102
32,IAF_SM2T,0.05588397632042567,0.03972253166139126,1.4068583743703285
32,ITF_SM2T,0.08126310134927432,0.06436633481644094,1.2625093782294246
33,IAF_SM2T,0.08373878647883733,0.06461209198459983,1.2960234517325375
33,ITF_SM2T,0.0470617450773716,0.06556831151247025,0.7177513648144394
34,IAF_SM2T,0.05496722657699138,0.025284971032912534,2.1739090190480588
34,ITF_SM2T,0.043532665446400644,0.0477243930633579,0.9121680266880592
35,IAF_SM2T,,,
35,ITF_SM2T,0.07405478010574977,0.0846532117575407,0.8748017773617236
36,IAF_SM2T,,,
