index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Significant_Adj,metric,pos
252,SM2T,SF2S,-4.462526837777713,<0.01,99,100,-0.037050437810505314,True,entropy,PRON
253,SM2T,SM2S,-2.3991649324537785,0.02,99,100,-0.023610530160100666,False,entropy,PRON
254,SF2S,SM2S,1.481227773309867,0.14,99,100,0.01343990765040465,False,entropy,PRON
0,ALL,T2*,6.822173524616661,<0.01,99,100,0.010991326828591951,True,mean,VERB
1,ALL,S2*,-6.288216256921486,<0.01,99,100,-0.007496769269593544,True,mean,VERB
2,ALL,T2T,6.822173140278215,<0.01,99,100,0.010991326582368465,True,mean,VERB
3,ALL,T2S,6.82217390895457,<0.01,99,100,0.01099132707481544,True,mean,VERB
4,ALL,S2T,-6.28821634997152,<0.01,99,100,-0.007496769331794896,True,mean,VERB
5,ALL,SF2T,-6.288215708622784,<0.01,99,100,-0.007496768764637003,True,mean,VERB
6,ALL,SM2T,-6.288216991319538,<0.01,99,100,-0.007496769898952788,True,mean,VERB
7,ALL,S2S,-6.288216163871154,<0.01,99,100,-0.007496769207392189,True,mean,VERB
8,ALL,SF2S,-6.288215138339107,<0.01,99,100,-0.007496768416473885,True,mean,VERB
9,ALL,SM2S,-6.288217189402606,<0.01,99,100,-0.007496769998310494,True,mean,VERB
10,T2*,S2*,-6.61062412538649,<0.01,99,100,-0.018488096098185497,True,mean,VERB
11,T2*,S2T,-6.6106241688144145,<0.01,99,100,-0.018488096160386845,True,mean,VERB
12,T2*,SF2T,-6.6106238960491135,<0.01,99,100,-0.01848809559322895,True,mean,VERB
13,T2*,SM2T,-6.610624441579577,<0.01,99,100,-0.01848809672754474,True,mean,VERB
14,T2*,S2S,-6.610624081958507,<0.01,99,100,-0.018488096035984142,True,mean,VERB
15,T2*,SF2S,-6.610623641130732,<0.01,99,100,-0.018488095245065835,True,mean,VERB
16,T2*,SM2S,-6.610624522786165,<0.01,99,100,-0.018488096826902445,True,mean,VERB
17,S2*,T2T,6.610623903017379,<0.01,99,100,0.01848809585196201,True,mean,VERB
18,S2*,T2S,6.6106243477554285,<0.01,99,100,0.018488096344408983,True,mean,VERB
19,*2T,T2S,6.822174100829886,<0.01,99,100,0.010991327186822634,True,mean,VERB
20,*2T,S2S,-6.2882159128848585,<0.01,99,100,-0.007496769095384992,True,mean,VERB
21,*2T,SF2S,-6.288214887352779,<0.01,99,100,-0.007496768304466685,True,mean,VERB
22,*2T,SM2S,-6.2882169384163396,<0.01,99,100,-0.007496769886303296,True,mean,VERB
23,*2S,T2T,6.8221729484023585,<0.01,99,100,0.010991326470361268,True,mean,VERB
24,*2S,S2T,-6.288216600957189,<0.01,99,100,-0.007496769443802089,True,mean,VERB
25,*2S,SF2T,-6.288215959608477,<0.01,99,100,-0.0074967688766441965,True,mean,VERB
26,*2S,SM2T,-6.288217242305188,<0.01,99,100,-0.007496770010959982,True,mean,VERB
27,T2T,S2T,-6.610623946445306,<0.01,99,100,-0.01848809591416336,True,mean,VERB
28,T2T,SF2T,-6.610623673680006,<0.01,99,100,-0.01848809534700547,True,mean,VERB
29,T2T,SM2T,-6.610624219210469,<0.01,99,100,-0.018488096481321256,True,mean,VERB
30,T2T,S2S,-6.610623859589395,<0.01,99,100,-0.018488095789760656,True,mean,VERB
31,T2T,SF2S,-6.6106234187616195,<0.01,99,100,-0.01848809499884235,True,mean,VERB
32,T2T,SM2S,-6.610624300417051,<0.01,99,100,-0.01848809658067896,True,mean,VERB
