,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
151,S2T,S2S,-0.4551246732782826,0.65,404,405,-0.006330490901916723,4.107112578452789,1.4444799788851264e-16,-0.02,False,True,top_20_mass
152,S2T,SF2S,-11.781282090422168,<0.01,404,405,-0.21176678071857002,2.3285090432861066,2.289549516682097e-16,-0.59,True,True,top_20_mass
153,S2T,SM2S,-12.547737893233425,<0.01,404,405,-0.2129073431357423,2.8334880150092836,8.923809293144955e-18,-0.62,True,True,top_20_mass
154,SF2T,SM2T,-1.5221640610756404,0.13,404,405,-0.025869869376419167,4.324099771373719,5.0443566314702303e-26,-0.08,False,True,top_20_mass
155,SF2T,S2S,10.45363889478685,<0.01,404,405,0.19826476134729143,2.397792796610835,1.1695362651007568e-19,0.52,True,True,top_20_mass
156,SF2T,SF2S,-0.37543572741291104,0.71,404,405,-0.0071715284693618896,3.019563754405591,7.233474782846913e-25,-0.02,False,True,top_20_mass
157,SF2T,SM2S,-0.4438270905692891,0.66,404,405,-0.00831209088653419,3.160883810568749,1.4858412554252992e-24,-0.02,False,True,top_20_mass
158,SM2T,S2S,12.370903098685687,<0.01,404,405,0.2241346307237106,3.1849428869339222,4.454098819054076e-20,0.61,True,True,top_20_mass
159,SM2T,SF2S,0.9811856309043634,0.33,404,405,0.018698340907057277,2.8892281494279795,8.37745876101802e-24,0.05,False,True,top_20_mass
160,SM2T,SM2S,1.064912401742842,0.29,404,405,0.017557778489884976,4.764417036229454,3.8778154599076486e-26,0.05,False,True,top_20_mass
161,SF2S,SM2S,-0.06046027843420319,0.95,404,405,-0.0011405624171723007,3.025956179349625,3.513208172094115e-24,-0.0,False,True,top_20_mass
162,ALL,T2*,14.929886453376081,<0.01,342,343,0.11295319066733209,1.748196644510509,3.804625652271487e-20,0.81,True,True,max
163,ALL,S2*,8.39144264558365,<0.01,404,405,0.04088602427761128,10.329404539259036,1.9504631251900476e-32,0.42,True,True,max
164,ALL,*2T,11.734449501646074,<0.01,422,423,0.047384630066912896,12.072957038476629,3.514450961172628e-29,0.57,True,True,max
165,ALL,*2S,11.730323979647505,<0.01,422,423,0.054147465500196806,9.867880023761339,4.420619389723687e-29,0.57,True,True,max
