,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric
138,S2T,SM2S,0.24151051669683846,0.81,99,100,0.0030251084637407054,0.32065835336694626,0.8623370032351981,0.02,False,False,top_20_mass
139,SF2T,SM2T,0.12495825557290581,0.9,99,100,0.0017628019009478652,0.6398015694442445,0.09527530766318565,0.01,False,False,top_20_mass
140,SF2T,S2S,6.955098991781664,<0.01,99,100,0.08545530873334631,0.8051968761858763,1.4103998027966884e-05,0.7,True,True,top_20_mass
141,SF2T,SF2S,4.511670591558454,<0.01,99,100,0.05772558423274539,2.2702289808829734,0.0009446818092336079,0.45,True,True,top_20_mass
142,SF2T,SM2S,2.8731179485624923,<0.01,99,100,0.038098675288475874,-0.2061596003652606,0.20795866124213874,0.29,False,False,top_20_mass
143,SM2T,S2S,6.62706896906333,<0.01,99,100,0.08369250683239844,-0.39529164763557434,0.03223216314578692,0.66,True,True,top_20_mass
144,SM2T,SF2S,4.594556428582138,<0.01,99,100,0.05596278233179753,-0.04059428761623263,0.2526055463301516,0.46,True,False,top_20_mass
145,SM2T,SM2S,2.6574609827837725,0.01,99,100,0.036335873387528014,0.7893930264882054,0.098124557677448,0.27,False,False,top_20_mass
146,SF2S,SM2S,-1.497448324319813,0.14,99,100,-0.01962690894426952,0.3441444718944737,0.8565237449330971,-0.15,False,False,top_20_mass
147,ALL,T2*,8.922402796571403,<0.01,99,100,0.09483076214790344,2.472488391051371,3.986957393368949e-09,0.89,True,True,max
148,ALL,S2*,4.421949463272572,<0.01,99,100,0.054460657089948655,7.571437695612849,1.597491233784019e-16,0.44,True,True,max
149,ALL,*2T,4.8679081385755785,<0.01,99,100,0.035175283402204514,7.81876087781637,7.842037562679839e-16,0.49,True,True,max
150,ALL,*2S,7.185898906459899,<0.01,99,100,0.06518298283219337,4.009987075658725,7.1478644718876004e-12,0.72,True,True,max
151,ALL,T2T,12.917064548081271,<0.01,99,100,0.14495836094021797,0.7409335203835563,0.00011785619873936876,1.29,True,True,max
152,ALL,T2S,11.373085224542049,<0.01,99,100,0.14161742195487023,1.1665792087719948,3.220954822649862e-06,1.14,True,True,max
153,ALL,S2T,5.811359088544865,<0.01,99,100,0.07306576430797578,5.742982350530751,4.1933865449795907e-14,0.58,True,True,max
154,ALL,SF2T,8.926075102926779,<0.01,99,100,0.11644508361816407,2.789744615517975,1.4528804375943015e-09,0.89,True,True,max
155,ALL,SM2T,8.843267587413791,<0.01,99,100,0.11630447149276733,2.762640602630956,1.8123264376174644e-09,0.88,True,True,max
156,ALL,S2S,9.101359785049324,<0.01,99,100,0.12016209453344345,2.3232359663551305,5.8366849406724385e-09,0.91,True,True,max
157,ALL,SF2S,12.95263815580175,<0.01,99,100,0.17154223933815957,1.430955912103741,3.648488769570906e-05,1.3,True,True,max
158,ALL,SM2S,10.83741586736417,<0.01,99,100,0.1528181266784668,0.7789714911612018,1.3921546314352763e-06,1.08,True,True,max
159,T2*,S2*,-2.1016396939278947,0.04,99,100,-0.04037010505795479,1.8264761904172762,0.00013515987267904612,-0.21,False,True,max
160,T2*,S2T,-1.1349234383813154,0.26,99,100,-0.021764997839927674,1.6211614776645789,0.0004630754912346853,-0.11,False,True,max
161,T2*,SF2T,1.2586843519277189,0.21,99,100,0.02161432147026062,1.8458215143238572,0.00024060469213656738,0.13,False,True,max
162,T2*,SM2T,1.1647172795264926,0.25,99,100,0.02147370934486389,1.5531353364802571,0.013417893176039827,0.12,False,True,max
163,T2*,S2S,1.4705920141002855,0.14,99,100,0.025331332385540008,1.635414021544074,0.0021033527732140516,0.15,False,True,max
164,T2*,SF2S,4.957117318746474,<0.01,99,100,0.07671147719025612,2.16377866950459,0.00024110458250628292,0.5,True,True,max
165,T2*,SM2S,3.3962699208755596,<0.01,99,100,0.05798736453056336,1.259251765862932,0.012717907072848393,0.34,False,True,max
166,S2*,T2T,5.445349451212505,<0.01,99,100,0.09049770385026931,1.4483195793979915,0.0032426451346848966,0.54,True,True,max
167,S2*,T2S,4.48114181592901,<0.01,99,100,0.08715676486492158,2.1335240658119945,0.00028132551436829125,0.45,True,True,max
168,*2T,*2S,2.2315863207073585,0.03,99,100,0.030007699429988863,1.4624645266058502,0.019170663867152722,0.22,False,True,max
169,*2T,T2S,6.639624852103905,<0.01,99,100,0.10644213855266571,1.3290111000146947,0.018999779935805143,0.66,True,True,max
170,*2T,S2S,6.875726992512045,<0.01,99,100,0.08498681113123893,0.6532539838097016,0.00937506150858827,0.69,True,True,max
171,*2T,SF2S,11.776643017761621,<0.01,99,100,0.13636695593595505,1.4741465378498457,0.0004329889212267889,1.18,True,True,max
172,*2T,SM2S,8.465003817923797,<0.01,99,100,0.11764284327626229,-0.084420033772862,0.13912594128941344,0.85,True,False,max
173,*2S,T2T,6.132889328345741,<0.01,99,100,0.0797753781080246,1.988955244037891,0.007114194516120245,0.61,True,True,max
174,*2S,S2T,0.49199725468502586,0.62,99,100,0.007882781475782395,2.724907013435203,0.0003178763612584013,0.05,False,True,max
175,*2S,SF2T,3.3402720741753815,<0.01,99,100,0.05126210078597069,2.5141401837885518,0.0008244758667429071,0.33,False,True,max
176,*2S,SM2T,3.500261938157706,<0.01,99,100,0.051121488660573956,3.221526491943619,0.0002046107049933187,0.35,False,True,max
177,T2T,T2S,-0.25360973016738675,0.8,99,100,-0.0033409389853477477,1.8490687723702326,0.007829828400239132,-0.03,False,True,max
178,T2T,S2T,-4.272139996532184,<0.01,99,100,-0.0718925966322422,1.0620758814761473,0.03223807172597841,-0.43,True,True,max
179,T2T,SF2T,-1.9372332054498982,0.06,99,100,-0.028513277322053908,1.344634409427421,0.02411962547889037,-0.19,False,True,max
180,T2T,SM2T,-1.7138659673742571,0.09,99,100,-0.028653889447450637,0.5860644256698273,0.6477604552369007,-0.17,False,False,max
181,T2T,S2S,-1.6734289021864004,0.1,99,100,-0.02479626640677452,0.933202222987846,0.026980144064705742,-0.17,False,True,max
182,T2T,SF2S,2.001627086024785,0.05,99,100,0.026583878397941588,1.4694516002273739,0.011478898447414773,0.2,False,True,max
183,T2T,SM2S,0.5216153637015571,0.6,99,100,0.007859765738248824,0.49115552686919495,0.19096229977906878,0.05,False,False,max
184,T2S,S2T,-3.5622513907264284,<0.01,99,100,-0.06855165764689446,2.1210570222330336,0.0005105436003630669,-0.36,True,True,max
185,T2S,SF2T,-1.4272991015833014,0.16,99,100,-0.025172338336706162,2.0419464637417324,0.0008256995581110525,-0.14,False,True,max
186,T2S,SM2T,-1.4087421062570964,0.16,99,100,-0.02531295046210289,2.72961541118646,0.00023141214640838478,-0.14,False,True,max
187,T2S,S2S,-1.220682673864579,0.23,99,100,-0.02145532742142677,2.0669695596352415,0.003271323355814096,-0.12,False,True,max
188,T2S,SF2S,1.826606251272365,0.07,99,100,0.029924817383289337,2.1672049837154628,0.0014531189258523403,0.18,False,True,max
189,T2S,SM2S,0.683685363143051,0.5,99,100,0.011200704723596572,2.641645646981556,0.00034189959061228434,0.07,False,True,max
190,S2T,S2S,4.20262988582435,<0.01,99,100,0.047096330225467685,1.0023150044528712,0.0006793702796348271,0.42,True,True,max
191,S2T,SF2S,8.404684052033767,<0.01,99,100,0.0984764750301838,1.7628547277821598,0.0003044851186558007,0.84,True,True,max
192,S2T,SM2S,6.024282408337134,<0.01,99,100,0.07975236237049103,0.2841575702125607,0.0027260957650364513,0.6,True,True,max
193,SF2T,SM2T,-0.010988083702784252,0.99,99,100,-0.0001406121253967285,1.9595554757190188,0.00035539979149058954,-0.0,False,True,max
194,SF2T,S2S,0.32359176834807757,0.75,99,100,0.0037170109152793885,1.7402356473037823,0.0013682815566206843,0.03,False,True,max
195,SF2T,SF2S,4.92321020427665,<0.01,99,100,0.055097155719995496,4.869994471725212,4.407730250121164e-06,0.49,True,True,max
