mode,language,group,mean,gini,top_20_mass,max,entropy
T2T,es,punctuation,0.06486371625214815,0.4522775320598855,0.4620749513779403,0.16899655759334564,0.8846515386070108
T2T,es,modifiers,0.057856525139652795,0.41695365830970005,0.44663509723152117,0.17540870606899261,0.9387351967934164
T2T,es,function_words,0.05382508969390702,0.41297896205224277,0.44636960453345437,0.20624226331710815,0.9411490190840892
T2T,es,coordination,0.0537091948880026,0.23871300929480735,0.3748680627972176,0.16259287297725677,0.9671804486193291
T2T,es,clausal_structure,0.05064046649316039,0.452831417434535,0.5179702085918,0.16045159101486206,0.8871029468886638
T2T,es,arguments,,,,,
T2T,fr,core_structure,0.08015930997207761,0.42516864530103393,0.46212207677453554,0.33525872230529785,0.9288419380765907
T2T,fr,clausal_structure,0.0605083450791426,0.37823073954186986,0.42126275478509134,0.1587473750114441,0.9257568844767209
T2T,fr,modifiers,0.052231821879896674,0.38252941798037304,0.4347359270097509,0.15306834876537323,0.9457593346974605
T2T,fr,function_words,0.05046809816347628,0.42655355007005746,0.46666578010479526,0.2500423192977905,0.9401602846189289
T2T,fr,coordination,0.03569046162172324,0.40160278702176505,0.44782420939545226,0.09486240148544312,0.9024590286242059
T2T,fr,generic,0.0352166051542064,0.5261122754185021,0.5350902737437614,0.08925306051969528,0.7917442216515034
T2T,fr,punctuation,0.031734338368881836,0.48792464004772007,0.49735132404450305,0.07794731855392456,0.8340284585784236
T2T,fr,arguments,,,,,
S2T,en,core_structure,0.1270562670377792,0.42313787832576627,0.4543264964020297,0.5778305530548096,0.9324319723375913
S2T,en,clausal_structure,0.11977843635510285,0.40861458368670045,0.4583416182691536,0.364215612411499,0.9180136983401969
S2T,en,coordination,0.1149762591554059,0.35353211057849027,0.44039630138588426,0.3295166790485382,0.9284626735962314
S2T,en,arguments,0.10348048590544966,0.4481157084508545,0.49604460891528157,0.3820876479148865,0.9077650249899946
S2T,en,function_words,0.09006920792984173,0.41729163630354865,0.445467469433423,0.40304338932037354,0.9398776142812431
S2T,en,modifiers,0.08438848624214658,0.42857650015504034,0.4368079645717531,0.37109142541885376,0.9277838078705999
S2T,en,punctuation,0.07749678425729102,0.32422239130564495,0.38088251658380057,0.19335538148880005,0.9561533914013418
S2T,en,generic,0.047511275857686996,0.3664971149901375,0.548223650355571,0.10418722033500671,0.8279973827214324
S2T,es,core_structure,0.09609509616429747,0.4459042520219156,0.4601091656200013,0.37277865409851074,0.9216552922179807
S2T,es,function_words,0.09512433152827941,0.41300444328112307,0.4289484255788418,0.36307787895202637,0.9428546335204069
S2T,es,modifiers,0.089408241973745,0.4558652045019992,0.4880259268912492,0.35085055232048035,0.9219781769266375
S2T,es,punctuation,0.085326747995658,0.437778093662133,0.4625444021048341,0.42968738079071045,0.9196775817312575
S2T,es,coordination,0.08224165111851807,0.31837670171909527,0.4031260401235091,0.17116963863372803,0.9438287184581124
S2T,es,clausal_structure,0.07777548464946449,0.4695658123169528,0.4751906307788534,0.29985854029655457,0.882333620554148
S2T,es,arguments,,,,,
S2T,es,generic,,,,,
S2T,fr,clausal_structure,0.13018798196895254,0.3679554761562546,0.4276397446639882,0.4298095405101776,0.9417541457909644
S2T,fr,function_words,0.09787232455835122,0.43261061912341126,0.4674104952684566,0.42059624195098877,0.9370896277816995
