index,Mode_1,Mode_2,T_Statistic,P_Value,Degrees_of_Freedom,Sample_Size,Mean_Diff,Kurtosis_Diff,Shapiro_P,Cohens_dz,Significant_Adj,Shapiro_Significant,metric,pos,level_0,Lang_1,Lang_2
22,SF2T,SM2T,-0.22345064890239216,0.82,26.0,27.0,-0.004826170053055389,3.410154776868543,3.680092322354739e-05,-0.04,False,True,gini,DET,,es,es
23,SF2T,SM2T,-0.2753126227541919,0.79,26.0,27.0,-0.006791805715365828,2.587859212146218,0.00034389304381493005,-0.05,False,True,gini,DET,,fr,fr
24,T2T,S2T,1.9136703753740216,0.07,22.0,23.0,0.14939279714494472,1.5468051823447313,0.011472699288396816,0.4,False,True,top_20_mass,DET,,en,en
25,T2T,SF2T,-0.022088709195654338,0.98,22.0,23.0,-0.0019795381446055384,1.597936575823251,0.0012679127777871827,-0.0,False,True,top_20_mass,DET,,en,en
26,T2T,SM2T,0.14376140603297013,0.89,22.0,23.0,0.014232432384192096,0.990043907276605,0.00204956880320985,0.03,False,True,top_20_mass,DET,,en,en
27,T2T,S2T,3.5786498234987514,<0.01,26.0,27.0,0.16255179432785527,-1.1811215941898383,0.09247466081411668,0.69,True,False,top_20_mass,DET,,es,es
28,T2T,SF2T,-1.1623932044991028,0.26,26.0,27.0,-0.07342525881669523,2.572858925462154,0.0022920788464258057,-0.22,False,True,top_20_mass,DET,,es,es
29,T2T,SM2T,-2.245857666192841,0.03,26.0,27.0,-0.11115952601218539,-0.6485297692841083,0.003027495279685752,-0.43,False,True,top_20_mass,DET,,es,es
30,T2T,S2T,2.0606688932197135,0.05,26.0,27.0,0.10630377145933718,0.3736202701387481,0.3373792300111784,0.4,False,False,top_20_mass,DET,,fr,fr
31,T2T,SF2T,-1.1658158943573063,0.25,26.0,27.0,-0.08013071066272816,1.7039090692567793,0.03973177976807421,-0.22,False,True,top_20_mass,DET,,fr,fr
32,T2T,SM2T,-1.3066633981141582,0.2,26.0,27.0,-0.07249855916341391,0.07598166838038711,0.5186036594697847,-0.25,False,False,top_20_mass,DET,,fr,fr
33,SF2T,SM2T,0.20401024853355154,0.84,22.0,23.0,0.016211970528797633,3.658072944835909,8.804983028774453e-06,0.04,False,True,top_20_mass,DET,,en,en
34,SF2T,SM2T,-0.8921383559654805,0.38,26.0,27.0,-0.03773426719549014,12.061125258498762,4.6753815037484636e-08,-0.17,False,True,top_20_mass,DET,,es,es
35,SF2T,SM2T,0.1336821336158248,0.89,26.0,27.0,0.007632151499314251,7.4160316300992335,1.4236714680983018e-06,0.03,False,True,top_20_mass,DET,,fr,fr
36,T2T,S2T,-4.001387853343241,<0.01,22.0,23.0,-0.07677557663587124,1.2262117126879328,0.07489799719898592,-0.83,True,False,max,DET,,en,en
37,T2T,SF2T,-2.284011680292567,0.03,22.0,23.0,-0.043750516624878284,2.5421635903084914,0.014828848745020167,-0.48,False,True,max,DET,,en,en
38,T2T,SM2T,-1.7775764726862104,0.09,22.0,23.0,-0.029084489559349808,1.7004773612027133,0.2565017035270224,-0.37,False,False,max,DET,,en,en
39,T2T,S2T,-4.963232500309107,<0.01,26.0,27.0,-0.08409647650464817,0.18653162707841675,0.44890367614201343,-0.96,True,False,max,DET,,es,es
40,T2T,SF2T,-3.3022319797823556,<0.01,26.0,27.0,-0.05505160066402621,0.005539287983920449,0.7008981741084079,-0.64,False,False,max,DET,,es,es
41,T2T,SM2T,-3.819547685778282,<0.01,26.0,27.0,-0.05591413275235229,1.8345732595980406,0.09937236855982133,-0.74,True,False,max,DET,,es,es
42,T2T,S2T,-3.3676775310841105,<0.01,26.0,27.0,-0.06697565593101361,-0.7501818228516806,0.3031770390026819,-0.65,False,False,max,DET,,fr,fr
43,T2T,SF2T,-1.3614553467275012,0.19,26.0,27.0,-0.028689047942558926,0.33185921769000704,0.7214392618837306,-0.26,False,False,max,DET,,fr,fr
44,T2T,SM2T,-2.025394078163372,0.05,26.0,27.0,-0.03572657318026931,0.20740211305785605,0.3800581694563254,-0.39,False,False,max,DET,,fr,fr
45,SF2T,SM2T,0.6100448483053583,0.55,22.0,23.0,0.014666027065528475,1.1756426566308598,0.5668854726409439,0.13,False,False,max,DET,,en,en
46,SF2T,SM2T,-0.056599446712005015,0.96,26.0,27.0,-0.0008625320883260833,0.684252078594517,0.05506253663988337,-0.01,False,False,max,DET,,es,es
47,SF2T,SM2T,-0.33968741298099936,0.74,26.0,27.0,-0.007037525237710388,4.672688788845889,0.001972444090255978,-0.07,False,True,max,DET,,fr,fr
48,T2T,S2T,-3.786555993881803,<0.01,22.0,23.0,-0.3874661214244228,-1.006894873330363,0.026839877846904562,-0.79,True,True,entropy,DET,,en,en
49,T2T,SF2T,-0.020476159696796677,0.98,22.0,23.0,-0.0021359604080710064,0.5693690646555476,0.0009678813540479574,-0.0,False,True,entropy,DET,,en,en
50,T2T,SM2T,0.005079182695941243,1.0,22.0,23.0,0.0005507312018325434,0.3768582370938094,0.005741635308269502,0.0,False,True,entropy,DET,,en,en
51,T2T,S2T,-4.0493561173863215,<0.01,26.0,27.0,-0.3503288847807653,-1.3555128092430162,0.006911068799310289,-0.78,True,True,entropy,DET,,es,es
52,T2T,SF2T,1.731378358140437,0.1,26.0,27.0,0.16108784731178363,0.2448996348844359,0.0004458920892796861,0.33,False,True,entropy,DET,,es,es
53,T2T,SM2T,2.14963023824122,0.04,26.0,27.0,0.18781628610966689,-0.32290306891763976,0.0009352446640867903,0.41,False,True,entropy,DET,,es,es
54,T2T,S2T,-1.8001662860739776,0.08,26.0,27.0,-0.1563433602076488,0.6336864537999496,0.0007036653956800854,-0.35,False,True,entropy,DET,,fr,fr
55,T2T,SF2T,2.4365524389458573,0.02,26.0,27.0,0.22260430517618218,0.12872105001561662,0.004282968059131675,0.47,False,True,entropy,DET,,fr,fr
56,T2T,SM2T,3.232414891747115,<0.01,26.0,27.0,0.24711631573699258,-0.6884960850312898,0.00023312822514315624,0.62,False,True,entropy,DET,,fr,fr
57,SF2T,SM2T,0.032853253335972284,0.97,22.0,23.0,0.002686691609903545,3.1378041016799285,1.7710298983215388e-05,0.01,False,True,entropy,DET,,en,en
58,SF2T,SM2T,0.4808432305643853,0.63,26.0,27.0,0.026728438797883277,5.823801204591364,2.223130847273808e-06,0.09,False,True,entropy,DET,,es,es
59,SF2T,SM2T,0.3846506993455496,0.7,26.0,27.0,0.02451201056081043,4.083480573349967,0.0002768351781863181,0.07,False,True,entropy,DET,,fr,fr
0,T2T,S2T,-2.1172955672203164,0.04,24.0,25.0,-0.032977190328548255,2.656032600082506,0.03952520053425874,-0.42,False,True,mean,NOUN,,en,en
1,T2T,SF2T,-1.583432028424181,0.13,24.0,25.0,-0.03251489168787738,4.233436499111986,0.005572215626229677,-0.32,False,True,mean,NOUN,,en,en
2,T2T,SM2T,-2.326182847603311,0.03,24.0,25.0,-0.03343948896921913,-0.3619771520096413,0.6339704403557309,-0.47,False,False,mean,NOUN,,en,en
3,T2T,S2T,-3.0101500863268975,0.01,26.0,27.0,-0.03462252121305255,1.7359505039529903,0.07642199607172213,-0.58,False,False,mean,NOUN,,es,es
4,T2T,SF2T,-2.4819063071265077,0.02,26.0,27.0,-0.0323606435279945,0.5834903636248208,0.1761502146211015,-0.48,False,False,mean,NOUN,,es,es
5,T2T,SM2T,-2.9793191345500247,0.01,26.0,27.0,-0.036884398898110606,1.0397037992602218,0.5407334043876383,-0.57,False,False,mean,NOUN,,es,es
6,T2T,S2T,-2.1961038119251652,0.04,27.0,28.0,-0.030634319703787913,4.276094174421291,0.005145151247391399,-0.42,False,True,mean,NOUN,,fr,fr
7,T2T,SF2T,-2.103142089136362,0.04,27.0,28.0,-0.030341211576375395,2.371922143056972,0.06407529962744303,-0.4,False,False,mean,NOUN,,fr,fr
8,T2T,SM2T,-1.9689895361888017,0.06,27.0,28.0,-0.030927427831200432,6.289665774051729,0.0001002316824656593,-0.37,False,True,mean,NOUN,,fr,fr
9,SF2T,SM2T,-0.054645646531849085,0.96,24.0,25.0,-0.0009245972813417525,0.319970025488042,0.5397952405232094,-0.01,False,False,mean,NOUN,,en,en
10,SF2T,SM2T,0.34603284496197323,0.73,27.0,28.0,0.004856505689150211,4.045493191851871,0.0002864536601253093,0.07,False,True,mean,NOUN,,es,es
11,SF2T,SM2T,0.24331506853338195,0.81,28.0,29.0,0.0028150828780028328,0.1999754250143897,0.12521405036979433,0.05,False,False,mean,NOUN,,fr,fr
12,T2T,S2T,-1.9552459295684792,0.06,24.0,25.0,-0.08402892775040183,0.13871778012099334,0.43542642068633214,-0.39,False,False,gini,NOUN,,en,en
13,T2T,SF2T,0.5840839180290326,0.56,24.0,25.0,0.02612053430799853,0.03804740633284531,0.7581898147636809,0.12,False,False,gini,NOUN,,en,en
14,T2T,SM2T,0.8552815616744082,0.4,24.0,25.0,0.03366673964271774,0.31825013283896464,0.45608799816995405,0.17,False,False,gini,NOUN,,en,en
15,T2T,S2T,-0.8466442479993913,0.4,26.0,27.0,-0.03898559143237989,-0.459551480140044,0.9216094117632119,-0.16,False,False,gini,NOUN,,es,es
16,T2T,SF2T,1.2192695126766764,0.23,26.0,27.0,0.05952713834549027,-0.16213896430739005,0.8942328658771015,0.23,False,False,gini,NOUN,,es,es
17,T2T,SM2T,0.5301716174760838,0.6,26.0,27.0,0.026731067179067695,-0.8787855587219822,0.6050527631609376,0.1,False,False,gini,NOUN,,es,es
18,T2T,S2T,-0.8811585088432637,0.39,27.0,28.0,-0.03411149929926981,-0.36317998906062154,0.7571242287304963,-0.17,False,False,gini,NOUN,,fr,fr
19,T2T,SF2T,0.9476467337942925,0.35,27.0,28.0,0.03750273118435161,-0.56550508267904,0.8394586455499105,0.18,False,False,gini,NOUN,,fr,fr
20,T2T,SM2T,3.225743098071974,<0.01,27.0,28.0,0.0899604015662165,-0.10384193003670461,0.7821214033379625,0.61,False,False,gini,NOUN,,fr,fr
21,SF2T,SM2T,0.2590994549512718,0.8,24.0,25.0,0.007546205334719229,2.042981424504232,0.0008909567424710618,0.05,False,True,gini,NOUN,,en,en
22,SF2T,SM2T,-1.025908433660173,0.31,27.0,28.0,-0.0316247829104789,-0.053789572194448354,0.5317883762800099,-0.19,False,False,gini,NOUN,,es,es
